 TIME                    	TAIR_PEG_V1              	TAIR_PEG_V2              	TAIR_PEG_V3              	TAIR_PEG_V4              	TAIR_PEG_V5              	TAIR_PEG_V6              	TAIR_PEG_V7              	
  +0.0000000000000000E+00	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	
  +1.0000000000000000E+00	  +2.1000000000000000E+01	  +2.1000000000000000E+01	  +2.1000000000000000E+01	  +2.1000000000000000E+01	  +2.1000000000000000E+01	  +2.1000000000000000E+01	  +2.1000000000000000E+01	
  +2.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +3.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +4.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +5.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +6.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +7.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +8.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +9.0000000000000000E+00	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.0000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.1000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.3000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.4000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.5000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.6000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.7000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.8000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +1.9000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.0000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.1000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.3000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.4000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.5000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.6000000000000000E+01	  +2.2016689877587851E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +2.2017215447495936E+01	  +2.2017215407970305E+01	  +2.2000000000000000E+01	  +2.2000000000000000E+01	
  +2.7000000000000000E+01	  +2.2123006633355587E+01	  +2.2051507038389676E+01	  +2.2049777478057010E+01	  +2.2119221221706546E+01	  +2.2119221362338443E+01	  +2.2049765044403941E+01	  +2.2049764769416331E+01	
  +2.8000000000000000E+01	  +2.2267978078532838E+01	  +2.2163328948943821E+01	  +2.2160889331250821E+01	  +2.2250372923419274E+01	  +2.2250373003011497E+01	  +2.2160870655518107E+01	  +2.2160868314584043E+01	
  +2.9000000000000000E+01	  +2.2418654517107118E+01	  +2.2288949039633309E+01	  +2.2286662807453979E+01	  +2.2380301776230283E+01	  +2.2380301803358659E+01	  +2.2286643623954578E+01	  +2.2286632667461713E+01	
  +3.0000000000000000E+01	  +2.2595379179370202E+01	  +2.2424528413027986E+01	  +2.2421860344557793E+01	  +2.2529303799987989E+01	  +2.2529303827927095E+01	  +2.2421836493821615E+01	  +2.2421805096890896E+01	
  +3.1000000000000000E+01	  +2.2780599816387561E+01	  +2.2569250705070601E+01	  +2.2566604496910553E+01	  +2.2680482792247943E+01	  +2.2680482746558596E+01	  +2.2566578370839508E+01	  +2.2566511654462044E+01	
  +3.2000000000000000E+01	  +2.2992093770324686E+01	  +2.2727254201304618E+01	  +2.2724345285973261E+01	  +2.2849615771424059E+01	  +2.2849615779084097E+01	  +2.2724314791063193E+01	  +2.2724196639977752E+01	
  +3.3000000000000000E+01	  +2.3214259353842525E+01	  +2.2892920260654115E+01	  +2.2889927050347584E+01	  +2.3023011527600246E+01	  +2.3023011504319491E+01	  +2.2889893192326912E+01	  +2.2889707238651823E+01	
  +3.4000000000000000E+01	  +2.3449485263644917E+01	  +2.3064471805376172E+01	  +2.3061224881411988E+01	  +2.3204650406610821E+01	  +2.3204650402483153E+01	  +2.3061186297599807E+01	  +2.3060916099491966E+01	
  +3.5000000000000000E+01	  +2.3695932799149993E+01	  +2.3243198709884091E+01	  +2.3239753708104431E+01	  +2.3391751602189217E+01	  +2.3391751509387756E+01	  +2.3239710446351779E+01	  +2.3239339821786878E+01	
  +3.6000000000000000E+01	  +2.3956018353875617E+01	  +2.3429153462076936E+01	  +2.3425385365708912E+01	  +2.3587249425488626E+01	  +2.3587249285725385E+01	  +2.3425336638730677E+01	  +2.3424849320554710E+01	
  +3.7000000000000000E+01	  +2.4229750517270300E+01	  +2.3623573107880546E+01	  +2.3619462421267549E+01	  +2.3790358836860552E+01	  +2.3790358656881633E+01	  +2.3619408154699595E+01	  +2.3618787959121061E+01	
  +3.8000000000000000E+01	  +2.4515738431055215E+01	  +2.3824451011802680E+01	  +2.3819883398824832E+01	  +2.4000481216258034E+01	  +2.4000480985320198E+01	  +2.3819822823933944E+01	  +2.3819053660199867E+01	
  +3.9000000000000000E+01	  +2.4812162159454331E+01	  +2.4031204891461172E+01	  +2.4026113203719856E+01	  +2.4216014131095449E+01	  +2.4216013838683491E+01	  +2.4026045945607482E+01	  +2.4025111813947149E+01	
  +4.0000000000000000E+01	  +2.5121211672025478E+01	  +2.4245259707221503E+01	  +2.4239522715629594E+01	  +2.4439099731758347E+01	  +2.4439099370920363E+01	  +2.4239447888990465E+01	  +2.4238332713885978E+01	
  +4.1000000000000000E+01	  +2.5460801803963001E+01	  +2.4479495665211108E+01	  +2.4473009504735426E+01	  +2.4682115056207937E+01	  +2.4682114625165223E+01	  +2.4472926533262864E+01	  +2.4471613735698220E+01	
  +4.2000000000000000E+01	  +2.5778706728042415E+01	  +2.4695657419290384E+01	  +2.4688287941521629E+01	  +2.4907119618849919E+01	  +2.4907119096040532E+01	  +2.4688195859937235E+01	  +2.4686669994901710E+01	
  +4.3000000000000000E+01	  +2.6103941642908158E+01	  +2.4917822859166918E+01	  +2.4909436667662320E+01	  +2.5137965769551712E+01	  +2.5137965143372586E+01	  +2.4909334305976337E+01	  +2.4907579266178043E+01	
