 TIME                    	QSENS_PEG_V1             	QSENS_PEG_V2             	QSENS_PEG_V3             	QSENS_PEG_V4             	QSENS_PEG_V5             	QSENS_PEG_V6             	QSENS_PEG_V7             	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  -2.4843143120204713E+03	  -2.5422421280405051E+03	  -2.5422421180968549E+03	  -2.5422421109639499E+03	  -2.5422421074093836E+03	  -2.5422421056380244E+03	  -2.5422421047553157E+03	
  +2.0000000000000000E+00	  -3.1201512973997001E+03	  -3.2995798573512916E+03	  -3.2995808531814150E+03	  -3.2995808436320090E+03	  -3.2995808388780683E+03	  -3.2995808365114672E+03	  -3.2995808353333491E+03	
  +3.0000000000000000E+00	  -2.9758904798471381E+03	  -3.2049693296319083E+03	  -3.2049790906789149E+03	  -3.2049790754210512E+03	  -3.2049790678362974E+03	  -3.2049790640705273E+03	  -3.2049790622009150E+03	
  +4.0000000000000000E+00	  -2.9300571102369586E+03	  -3.1749914384767017E+03	  -3.1750315690446032E+03	  -3.1750315499638009E+03	  -3.1750315403632612E+03	  -3.1750315356051597E+03	  -3.1750315332472469E+03	
  +5.0000000000000000E+00	  -2.8897812799294757E+03	  -3.1353452581385268E+03	  -3.1354477318306754E+03	  -3.1354477097975409E+03	  -3.1354476978465732E+03	  -3.1354476919293429E+03	  -3.1354476890000828E+03	
  +6.0000000000000000E+00	  -2.8501862358651856E+03	  -3.0884924631782746E+03	  -3.0886899477446909E+03	  -3.0886899295050716E+03	  -3.0886899157965786E+03	  -3.0886899090116899E+03	  -3.0886899056545317E+03	
  +7.0000000000000000E+00	  -2.8329003711397618E+03	  -3.0585003541096921E+03	  -3.0588192072188617E+03	  -3.0588192057149308E+03	  -3.0588191898494683E+03	  -3.0588191819995877E+03	  -3.0588191781172886E+03	
  +8.0000000000000000E+00	  -2.6973168598936795E+03	  -2.9162240922834521E+03	  -2.9166816490622109E+03	  -2.9166816960698502E+03	  -2.9166816807659975E+03	  -2.9166816731882814E+03	  -2.9166816694389936E+03	
  +9.0000000000000000E+00	  -2.4968740881339804E+03	  -2.7126636473851272E+03	  -2.7132685308796945E+03	  -2.7132686748942301E+03	  -2.7132686635778432E+03	  -2.7132686579645047E+03	  -2.7132686551852826E+03	
  +1.0000000000000000E+01	  -2.2032597754037847E+03	  -2.4288194106335363E+03	  -2.4295734688792418E+03	  -2.4295737736790197E+03	  -2.4295737695667276E+03	  -2.4295737675084351E+03	  -2.4295737664886124E+03	
  +1.1000000000000000E+01	  -1.8563768913338381E+03	  -2.1069257055914759E+03	  -2.1078268016193724E+03	  -2.1078273410323113E+03	  -2.1078273454217897E+03	  -2.1078273475552583E+03	  -2.1078273486127127E+03	
  +1.2000000000000000E+01	  -1.5340673479718134E+03	  -1.8015821428571453E+03	  -1.8026270216215776E+03	  -1.8026277395321679E+03	  -1.8026276840841704E+03	  -1.8026276565349144E+03	  -1.8026276428891404E+03	
  +1.3000000000000000E+01	  -1.3755006301598976E+03	  -1.6402199781644172E+03	  -1.6414078366450553E+03	  -1.6414089349410988E+03	  -1.6414088758058815E+03	  -1.6414088463602266E+03	  -1.6414088317776996E+03	
  +1.4000000000000000E+01	  -1.1515995293814017E+03	  -1.4326028263717976E+03	  -1.4339349281802131E+03	  -1.4339365019691318E+03	  -1.4339364408235169E+03	  -1.4339364102587433E+03	  -1.4339363951238654E+03	
  +1.5000000000000000E+01	  -1.3841399162745340E+03	  -1.5858332207246604E+03	  -1.5873111182766991E+03	  -1.5873132600626782E+03	  -1.5873131970495494E+03	  -1.5873131653675409E+03	  -1.5873131496840590E+03	
  +1.6000000000000000E+01	  -1.6606320712154652E+03	  -1.7895704005926284E+03	  -1.7911939582617624E+03	  -1.7911967435633992E+03	  -1.7911966709163064E+03	  -1.7911966341606180E+03	  -1.7911966159636402E+03	
  +1.7000000000000000E+01	  -1.8425668264413896E+03	  -1.9226287425862713E+03	  -1.9243893159647978E+03	  -1.9243928321509907E+03	  -1.9243927489639511E+03	  -1.9243927065631201E+03	  -1.9243926855708889E+03	
  +1.8000000000000000E+01	  -1.9768186249384119E+03	  -2.0222560248651287E+03	  -2.0241323724820870E+03	  -2.0241367086767225E+03	  -2.0241366162015825E+03	  -2.0241365686255051E+03	  -2.0241365450721496E+03	
  +1.9000000000000000E+01	  -2.0794825199104043E+03	  -2.0964458302613284E+03	  -2.0984074429159214E+03	  -2.0984126846099089E+03	  -2.0984125841531672E+03	  -2.0984125318712245E+03	  -2.0984125059909716E+03	
  +2.0000000000000000E+01	  -2.1297445580693129E+03	  -2.1222901749882735E+03	  -2.1243030946858476E+03	  -2.1243092347950806E+03	  -2.1243090850883295E+03	  -2.1243090075083187E+03	  -2.1243089691304267E+03	
  +2.1000000000000000E+01	  -2.2407672518392169E+03	  -2.2084603436922407E+03	  -2.2104909947094147E+03	  -2.2104981696357304E+03	  -2.2104980069642661E+03	  -2.2104979217715136E+03	  -2.2104978796296309E+03	
  +2.2000000000000000E+01	  -2.3308056094363483E+03	  -2.2741356215141222E+03	  -2.2761532704735473E+03	  -2.2761615378339588E+03	  -2.2761613670113093E+03	  -2.2761612763329208E+03	  -2.2761612314825957E+03	
  +2.3000000000000000E+01	  -2.3756353561938035E+03	  -2.2961970655310211E+03	  -2.2981741332805668E+03	  -2.2981835281187073E+03	  -2.2981833525452421E+03	  -2.2981832577833170E+03	  -2.2981832109198626E+03	
  +2.4000000000000000E+01	  -2.4411741712898433E+03	  -2.3392551714633164E+03	  -2.3411669919546976E+03	  -2.3411775251763893E+03	  -2.3411773471456299E+03	  -2.3411772491314268E+03	  -2.3411772006653860E+03	
  +2.5000000000000000E+01	  -2.4460618530588458E+03	  -2.3236641225798635E+03	  -2.3254885687569890E+03	  -2.3255002268005555E+03	  -2.3255000478329484E+03	  -2.3254999470087564E+03	  -2.3254998971614959E+03	
  +2.6000000000000000E+01	  -2.5079896445542831E+03	  -2.3646799369581795E+03	  -2.3663971957057897E+03	  -2.3664099418186256E+03	  -2.3664097628702025E+03	  -2.3664096593841018E+03	  -2.3664096082276164E+03	
  +2.7000000000000000E+01	  -2.5777694485856523E+03	  -2.4135125844775180E+03	  -2.4151049294028880E+03	  -2.4151187071795825E+03	  -2.4151185298638620E+03	  -2.4151184241894393E+03	  -2.4151183719570286E+03	
  +2.8000000000000000E+01	  -2.6025184702384240E+03	  -2.4188876902437987E+03	  -2.4203392458174599E+03	  -2.4203539819057728E+03	  -2.4203538089416470E+03	  -2.4203537021061761E+03	  -2.4203536493048623E+03	
  +2.9000000000000000E+01	  -2.6251451195285890E+03	  -2.4231805406985786E+03	  -2.4244770228286434E+03	  -2.4244926225250842E+03	  -2.4244924544282303E+03	  -2.4244923463890827E+03	  -2.4244922929993154E+03	
  +3.0000000000000000E+01	  -2.6914213637731514E+03	  -2.4707088549286655E+03	  -2.4718374520513330E+03	  -2.4718538022013136E+03	  -2.4718536375691342E+03	  -2.4718535273460848E+03	  -2.4718534728791687E+03	
  +3.1000000000000000E+01	  -2.7057395952850047E+03	  -2.4678594372855782E+03	  -2.4688087686442345E+03	  -2.4688257541857761E+03	  -2.4688255970003911E+03	  -2.4688254863099160E+03	  -2.4688254316126950E+03	
  +3.2000000000000000E+01	  -2.6333533476595976E+03	  -2.3880605637094418E+03	  -2.3888206211284278E+03	  -2.3888381134850420E+03	  -2.3888379663301166E+03	  -2.3888378562342950E+03	  -2.3888378018297381E+03	
  +3.3000000000000000E+01	  -2.3441393585236756E+03	  -2.1275202532583558E+03	  -2.1280822916582993E+03	  -2.1281001420088623E+03	  -2.1281000015708892E+03	  -2.1280998902602505E+03	  -2.1280998352538832E+03	
